sentence,token,label
Suresh paid 5000 for rent,rent,B-BILL_TYPE
Pay my phone bill,my,O
Ramesh paid 5000 for rent,for,O
Send ₹1000 to Ramesh,Send,O
Show last 5000 transactions,₹320,O
Withdraw my FD last week,my,O
Suresh को ₹200 भेजो,Priya,B-PERSON
Alok paid ₹750 for rent,10 lakh,B-AMOUNT
FD nikalni hai Rahul ke liye,ke,O
मेरा phone का बिल जमा करो,का,O
I paid ₹200 for water last week,last,B-DATE
Pay my rent bill,Pay,O
मेरा water का बिल जमा करो,बिल,I-BILL_TYPE
Anjali paid ₹2500 for rent,Anjali,B-PERSON
current nikalni hai Rahul ke liye,hai,O
Pay my phone bill,my,O
Send ₹200 to Rahul,Send,O
Pay my phone bill,Pay,O
Withdraw my joint पिछले महीने,Withdraw,O
Show last ₹750 transactions,transactions,O
Show last ₹1000 transactions,last,B-AMOUNT
काल savings निकालना है,काल,B-DATE
Ramesh paid ₹1000 for rent,paid,O
Pay my electricity bill,Pay,O
Neha को ₹200 भेजो,भेजो,O
Suresh paid 5000 for rent,5000,B-AMOUNT
काल savings निकालना है,निकालना,O
Pay my rent bill,bill,I-BILL_TYPE
current nikalni hai Rahul ke liye,nikalni,O
Ramesh paid ₹1000 for rent,₹8600,B-AMOUNT
Withdraw my FD कल,Withdraw,O
मेरा phone का बिल जमा करो,rent,B-BILL_TYPE
Withdraw my current कल,Withdraw,O
I paid ₹200 for water last week,week,I-DATE
I paid ₹1000 for electricity last week,paid,O
मेरा water का बिल जमा करो,करो,O
मेरा water का बिल जमा करो,करो,O
I paid ₹200 for water last week,for,O
Amit को 10 lakh भेजो,₹320,B-AMOUNT
मेरा water का बिल जमा करो,का,O
Send ₹1000 to Anjali,10 lakh,B-AMOUNT
FD nikalni hai Amit ke liye,liye,O
savings nikalni hai Rahul ke liye,savings,B-ACCOUNT
मेरा water का बिल जमा करो,rent,B-BILL_TYPE
Priya को ₹1000 भेजो,को,O
savings nikalni hai Alok ke liye,hai,O
Send ₹1000 to Anjali,to,O
Amit को 10 lakh भेजो,Suresh,B-PERSON
I paid 10 lakh for internet last week,₹8600,B-AMOUNT
काल joint निकालना है,निकालना,O
current nikalni hai Suresh ke liye,Alok,B-PERSON
Send ₹1000 to Neha,to,O
काल savings निकालना है,काल,B-DATE
Withdraw my FD कल,yesterday,B-DATE
FD nikalni hai Amit ke liye,ke,O
Send ₹200 to Neha,Send,O
Priya को ₹1000 भेजो,₹2500,B-AMOUNT
Alok paid ₹750 for rent,paid,O
मेरा water का बिल जमा करो,internet,B-BILL_TYPE
Pay my phone bill,Pay,O
काल FD निकालना है,काल,B-DATE
Pay my phone bill,electricity,B-BILL_TYPE
Pay my phone bill,bill,I-BILL_TYPE
I paid ₹2500 for internet last week,I,O
I paid ₹2500 for internet last week,paid,O
Pay my phone bill,my,O
FD nikalni hai Rahul ke liye,hai,O
Rahul को 10 lakh भेजो,भेजो,O
I paid 10 lakh for internet last week,for,O
Ramesh paid 5000 for rent,5000,B-AMOUNT
FD nikalni hai Rahul ke liye,Rahul,B-PERSON
Show last ₹1000 transactions,₹200,O
I paid ₹2500 for internet last week,last,B-DATE
I paid ₹1000 for electricity last week,for,O
savings nikalni hai Alok ke liye,joint,B-ACCOUNT
Send 10 lakh to Neha,₹750,B-AMOUNT
current nikalni hai Rahul ke liye,ke,O
Withdraw my savings अब,12 Nov,B-DATE
I paid 5000 for water last week,water,B-BILL_TYPE
I paid ₹2500 for internet last week,week,I-DATE
Withdraw my joint पिछले महीने,my,O
FD nikalni hai Amit ke liye,hai,O
Withdraw my FD last week,current,B-ACCOUNT
Suresh paid 5000 for rent,for,O
Show last ₹750 transactions,Show,O
current nikalni hai Suresh ke liye,hai,O
Priya को ₹1000 भेजो,Neha,B-PERSON
काल FD निकालना है,है,O
काल savings निकालना है,savings,B-ACCOUNT
काल joint निकालना है,savings,B-ACCOUNT
I paid 10 lakh for internet last week,paid,O
Show last 5000 transactions,last,B-AMOUNT
Send ₹200 to Rahul,Anjali,B-PERSON
I paid 10 lakh for internet last week,I,O
मेरा phone का बिल जमा करो,जमा,O
मेरा water का बिल जमा करो,मेरा,O
Send ₹320 to Anjali,to,O
मेरा water का बिल जमा करो,जमा,O
मेरा internet का बिल जमा करो,जमा,O
I paid ₹750 for electricity last week,phone,B-BILL_TYPE
FD nikalni hai Rahul ke liye,FD,B-ACCOUNT
Show last 5000 transactions,₹200,O
current nikalni hai Rahul ke liye,Amit,B-PERSON
I paid ₹2500 for internet last week,school,B-BILL_TYPE
I paid 5000 for water last week,week,I-DATE
current nikalni hai Suresh ke liye,nikalni,O
Amit paid ₹320 for rent,paid,O
Pay my internet bill,Pay,O
मेरा water का बिल जमा करो,जमा,O
